from,to,weight,start,end,change
hitler,heß,3,1923,1941,3
heß,hitler,3,1923,1941,3
heß,nsdap,3,1923,1941,3
heß,sa,1,1925,1941,3
heß,ss,3,1925,1941,3
hitler,goering,3,1923,1945,3
goering,hitler,3,1923,1945,3
goering,nsdap,3,1923,1945,1
papen,goering,2,1933,1933,1
hindenburg,goering,2,1927,1933,1
goering,sa,3,1923,1945,1
goering,ss,3,1933,1945,1
goering,himmler,NA,NA,NA,NA
himmler,goering,NA,NA,NA,NA
hitler,ludendorff,2,1923,1924,3
ludendorff,hitler,2,1923,1924,3
himmler,ludendorff ,1,1924,1926,3
hitler,himmler,3,1923,1945,1
himmler,hitler,3,1923,1945,1
himmler,nsdap,3,1923,1945,1
himmler,ss,3,1927,1945,1
himmler,sa,3,1925,1934,3
sa,ss,3,1925,1934,3
ss,sa,3,1925,1934,3
hitler,sa,3,1923,1945,1
sa,hitler,3,1923,1945,1
hitler,ss,3,1925,1945,1
ss,hitler,3,1925,1945,1
ss,nsdap,3,1925,1945,1
nsdap,ss,3,1925,1945,1
sa,nsdap,3,1923,1945,1
nsdap,sa,3,1923,1945,1
papen,hindenburg,3,1925,1934,1
hindenburg,papen,3,1932,1934,3
papen,hitler,3,1932,1945,1
papen,nsdap,3,1932,1945,1
hindenburg,hitler,3,1933,1934,2
papen,sa,3,1932,1932,1
